name	path	description	status	lifecycle	license	source_url	source_locator	risk	version	notes
ad-creative	04_技能包\skills-shared-candidate\ad-creative	When the user wants to generate, iterate, or scale ad creative — headlines, descriptions, primary text, or full ad variations — for any paid advertising platform. Also use when the user mentions 'ad copy variations,' 'ad creative,' 'generate headlines,' 'RSA headlines,' 'bulk ad copy,' 'ad iterations,' 'creative testing,' 'ad performance optimization,' 'write me some ads,' 'Facebook ad copy,' 'Google ad headlines,' 'LinkedIn ad text,' or 'I need more ad variations.' Use this whenever someone needs to produce ad copy at scale or iterate on existing ads.	candidate	deprecated	MIT		present-in-skill-header	needs-review	1.1.0	header has origin/license hints
automation	04_技能包\skills-shared-candidate\automation	Use when creating, reading, updating, deleting, running, cancelling, scheduling, condition-triggering, or inspecting Daimon Blueprint Automations and their run records.	quarantine	deprecated				needs-review		header has origin/license hints
binding	04_技能包\skills-shared-candidate\binding	Use when creating, reading, validating, repairing, deleting, or troubleshooting Daimon Blueprint automation_widget Bindings between Automation artifact results and Widget data slots and submit events.	quarantine	deprecated				needs-review		header has origin/license hints
blueprint	04_技能包\skills-shared-candidate\blueprint	Use when choosing between Daimon Blueprint Automation, Widget, Binding, and Canvas tools or routing a request to the correct Blueprint domain skill.	quarantine	deprecated				needs-review		header has origin/license hints
bug-intake	04_技能包\skills-shared-candidate\bug-intake	Convert scan findings, review failures, intake gaps, user bug reports, or failed acceptance checks into structured bug tickets with severity, reproduction evidence, owner path, acceptance criteria, and verification steps. Use after repo-intake-and-plan, skill-intake-scanner, code review, gate failures, or when the user asks to turn problems into actionable bug work.	candidate	active	Internal			normal		
campaign-plan	04_技能包\skills-shared-candidate\campaign-plan	Generate a full campaign brief with objectives, audience, messaging, channel strategy, content calendar, and success metrics. Use when planning a product launch, lead-gen push, or awareness campaign, when you need a week-by-week content calendar with dependencies, or when translating a marketing goal into a structured, executable plan.	candidate	deprecated	Apache-2.0	https://github.com/anthropics/knowledge-work-plugins/tree/main/marketing/skills/campaign-plan	marketing/skills/campaign-plan/SKILL.md	needs-review		header has origin/license hints; source repo verified
cangjie-thinking-distiller	04_技能包\skills-shared-candidate\cangjie-thinking-distiller	Distill a person's real decision samples into a reusable, testable, and feedback-driven thinking protocol. Use when the user wants to capture how someone thinks, judges, prioritizes, rejects, escalates, or makes decisions, and turn that reasoning style into an Agent OS skill or decision playbook.	candidate	active	Internal			normal		
canvas	04_技能包\skills-shared-candidate\canvas	Use when creating, reading, updating, or deleting Daimon Blueprint Canvases and when placing, moving, resizing, ordering, removing, or inspecting Widget placements and placement-local view state.	quarantine	deprecated				needs-review		header has origin/license hints
churn-prevention	04_技能包\skills-shared-candidate\churn-prevention	Reduce voluntary and involuntary churn through cancel flow design, save offers, exit surveys, and dunning sequences. Use when designing or optimizing a cancel flow, building save offers, setting up dunning emails, or reducing failed-payment churn. Trigger keywords: cancel flow, churn reduction, save offers, dunning, exit survey, payment recovery, win-back, involuntary churn, failed payments, cancel page. NOT for customer health scoring or expansion revenue.	candidate	deprecated	MIT			needs-review	1.0.0	header has origin/license hints
code-review	04_技能包\skills-shared-candidate\code-review	"Review the changes since a fixed point (commit, branch, tag, or merge-base) along two axes — Standards (does the code follow this repo's documented coding standards?) and Spec (does the code match what the originating issue/PRD asked for?). Runs both reviews in parallel sub-agents and reports them side by side. Use when the user wants to review a branch, a PR, work-in-progress changes, or asks to ""review since X""."	candidate	active	MIT	https://github.com/mattpocock/skills	skills/engineering/code-review/SKILL.md	normal		header has origin/license hints; source repo verified
content-research-writer	04_技能包\skills-shared-candidate\content-research-writer	Assists in writing high-quality content by conducting research, adding citations, improving hooks, iterating on outlines, and providing real-time feedback on each section. Transforms your writing process from solo effort to collaborative partnership.	candidate	deprecated	Apache-2.0	https://github.com/ComposioHQ/awesome-claude-skills/tree/master/content-research-writer	content-research-writer/SKILL.md	needs-review		header has origin/license hints; source repo verified
copy-editing	04_技能包\skills-shared-candidate\copy-editing	When the user wants to edit, review, or improve existing marketing copy. Also use when the user mentions 'edit this copy,' 'review my copy,' 'copy feedback,' 'proofread,' 'polish this,' 'make this better,' 'copy sweep,' 'tighten this up,' 'this reads awkwardly,' 'clean up this text,' 'too wordy,' or 'sharpen the messaging.' Use this when the user already has copy and wants it improved rather than rewritten from scratch.	candidate	deprecated	MIT			needs-review	1.1.0	header has origin/license hints
copywriting	04_技能包\skills-shared-candidate\copywriting	"When the user wants to write, rewrite, or improve marketing copy for any page — including homepage, landing pages, pricing pages, feature pages, about pages, or product pages. Also use when the user says ""write copy for,"" ""improve this copy,"" ""rewrite this page,"" ""marketing copy,"" ""headline help,"" ""CTA copy,"" ""value proposition,"" ""tagline,"" ""subheadline,"" ""hero section copy,"" ""above the fold,"" ""this copy is weak,"" ""make this more compelling,"" or ""help me describe my product."" Use this whenever someone is working on website text that needs to persuade or convert."	candidate	deprecated	MIT			needs-review	1.1.0	header has origin/license hints
daily-report	04_技能包\skills-shared-candidate\daily-report	Generate a professional daily intelligence brief PDF covering global geopolitics, macro policy, industrial supply chains, and tech trends. Use when user needs a comprehensive daily report similar to institutional research formats.	quarantine	deprecated			present-in-skill-header	needs-review		
daimon-widget-cards	04_技能包\skills-shared-candidate\daimon-widget-cards	Render Daimon display cards for assistant results. Use automatically when showing local files, images, videos, final generated products, completed deletion lists, existing tool resources, or a Canvas entry point in Daimon chat. Blueprint Widgets are shown with the Widget tool, not card fences.	quarantine	deprecated				needs-review		header has origin/license hints
darwin-runbook	04_技能包\skills-shared-candidate\darwin-runbook	达尔文进化循环适配版——对已有 SKILL.md 做评估-变异-选择的受控进化。当用户说「评估XX skill」「优化XX skill」「达尔文」时触发。9维rubric做triage，keep/revert走paired多数决，每轮只改一个维度，仅owner可触发，绝不自评自改。	candidate	active	Internal			normal		header has origin/license hints
